Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,130,4,Some Random Commen with Id 0
1,0,5,19,9,Some Random Commen with Id 1
2,0,5,47,9,Some Random Commen with Id 2
3,0,5,9,7,Some Random Commen with Id 3
4,0,5,152,3,Some Random Commen with Id 4
5,0,5,184,7,Some Random Commen with Id 5
6,0,5,61,3,Some Random Commen with Id 6
7,0,5,91,9,Some Random Commen with Id 7
8,1,0,159,0,Some Random Commen with Id 8
9,1,0,53,1,Some Random Commen with Id 9
10,1,0,157,1,Some Random Commen with Id 10
11,1,0,192,9,Some Random Commen with Id 11
12,1,0,135,0,Some Random Commen with Id 12
13,2,4,36,3,Some Random Commen with Id 13
14,2,4,121,8,Some Random Commen with Id 14
15,2,4,39,7,Some Random Commen with Id 15
16,2,4,26,2,Some Random Commen with Id 16
17,2,4,146,1,Some Random Commen with Id 17
18,2,4,136,8,Some Random Commen with Id 18
19,2,4,32,9,Some Random Commen with Id 19
20,2,4,196,9,Some Random Commen with Id 20
21,3,3,38,2,Some Random Commen with Id 21
22,3,3,4,6,Some Random Commen with Id 22
23,3,3,2,9,Some Random Commen with Id 23
24,3,3,65,6,Some Random Commen with Id 24
25,3,3,198,0,Some Random Commen with Id 25
26,3,3,50,6,Some Random Commen with Id 26
27,3,3,48,4,Some Random Commen with Id 27
28,3,3,69,9,Some Random Commen with Id 28
29,3,3,68,4,Some Random Commen with Id 29
30,4,5,74,1,Some Random Commen with Id 30
31,4,5,83,1,Some Random Commen with Id 31
32,4,5,78,6,Some Random Commen with Id 32
33,4,5,141,4,Some Random Commen with Id 33
34,4,5,113,6,Some Random Commen with Id 34
35,4,5,53,6,Some Random Commen with Id 35
36,4,5,85,2,Some Random Commen with Id 36
37,4,5,103,3,Some Random Commen with Id 37
38,4,5,198,0,Some Random Commen with Id 38
39,5,3,100,3,Some Random Commen with Id 39
40,5,3,154,5,Some Random Commen with Id 40
41,5,3,109,2,Some Random Commen with Id 41
42,5,3,80,3,Some Random Commen with Id 42
43,5,3,199,1,Some Random Commen with Id 43
44,5,3,62,7,Some Random Commen with Id 44
45,5,3,99,1,Some Random Commen with Id 45
46,5,3,8,7,Some Random Commen with Id 46
